timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-28,10.7300,10.7300,10.7300,10.7300,10.7300,24,0.0000,1.0000
2018-08-27,10.7350,10.7500,10.7200,10.7300,10.7300,2951,0.0000,1.0000
2018-08-24,10.5000,10.9000,10.5000,10.9000,10.9000,12449,0.0000,1.0000
2018-08-23,10.7500,10.9000,10.7500,10.9000,10.9000,4746,0.0000,1.0000
2018-08-22,10.6381,10.9000,10.6381,10.8108,10.8108,727,0.0000,1.0000
2018-08-21,10.9582,10.9800,10.9500,10.9700,10.9700,3700,0.0000,1.0000
2018-08-20,10.9800,10.9800,10.8886,10.8886,10.8886,3579,0.0000,1.0000
2018-08-17,10.9000,10.9900,10.6000,10.9900,10.9900,2216,0.0000,1.0000
2018-08-16,10.9900,10.9900,10.9900,10.9900,10.9900,123,0.0000,1.0000
2018-08-15,10.5000,10.9900,10.5000,10.9900,10.9900,10978,0.0000,1.0000
2018-08-14,10.7726,10.9900,10.7726,10.9900,10.9900,11934,0.0000,1.0000
2018-08-13,10.6069,10.9400,10.6069,10.9200,10.9200,5676,0.0000,1.0000
2018-08-10,10.9500,10.9700,10.6540,10.9700,10.9700,3685,0.0000,1.0000
2018-08-09,10.7620,10.9900,10.4900,10.9500,10.9500,21930,0.0000,1.0000
2018-08-08,11.0000,11.0500,10.6537,11.0500,11.0500,2394,0.0000,1.0000
2018-08-07,11.2600,11.2600,10.9250,10.9250,10.9250,8008,0.0000,1.0000
2018-08-06,12.9900,12.9900,10.9900,11.1600,11.1600,5612,0.0000,1.0000
2018-08-03,11.0000,11.1816,10.9900,11.1816,11.1816,9920,0.0000,1.0000
2018-08-02,11.0100,11.1800,10.9900,11.1800,11.1800,2328,0.0000,1.0000
2018-08-01,11.2000,11.2000,11.2000,11.2000,11.2000,2378,0.0000,1.0000
2018-07-31,10.9000,10.9900,10.9000,10.9900,10.9900,8620,0.0000,1.0000
2018-07-30,10.8714,11.0400,10.7500,10.9355,10.9355,9474,0.0000,1.0000
2018-07-27,11.0000,11.0700,10.8830,10.9294,10.9294,28921,0.0000,1.0000
2018-07-26,11.1000,11.1000,11.1000,11.1000,11.1000,3650,0.0000,1.0000
2018-07-25,11.2000,11.2000,10.9327,10.9327,10.9327,1750,0.0000,1.0000
2018-07-24,10.9500,11.1000,10.7564,11.0999,11.0999,22161,0.0000,1.0000
2018-07-23,10.9900,10.9900,10.7500,10.8000,10.8000,4508,0.0000,1.0000
2018-07-20,10.8250,10.9900,10.6400,10.9900,10.9900,19348,0.0000,1.0000
2018-07-19,10.7500,11.1990,10.7000,10.8000,10.8000,9555,0.0000,1.0000
2018-07-18,10.4700,10.8690,10.4500,10.7400,10.7400,477656,0.0000,1.0000
2018-07-17,10.6736,10.6736,10.4500,10.5900,10.5900,21801,0.0000,1.0000
2018-07-16,10.7000,11.3032,10.4600,10.4600,10.4600,88470,0.0000,1.0000
2018-07-13,11.4000,11.4000,10.6000,10.6600,10.6600,35033,0.0000,1.0000
2018-07-12,10.6100,11.0000,10.6000,10.6300,10.6300,429591,0.0000,1.0000
2018-07-11,10.6000,10.6000,10.6000,10.6000,10.6000,240,0.0000,1.0000
2018-07-10,10.6031,10.6031,10.6000,10.6000,10.6000,8222,0.0000,1.0000
2018-07-09,10.6000,10.6300,10.6000,10.6000,10.6000,103586,0.0000,1.0000
2018-07-06,10.7000,10.7000,10.5750,10.5800,10.5800,8983,0.0000,1.0000
2018-07-05,10.5400,10.5500,10.5400,10.5500,10.5500,117507,0.0000,1.0000
2018-07-03,10.5500,10.5500,10.5400,10.5500,10.5500,175000,0.0000,1.0000
2018-07-02,10.4600,10.5500,10.4600,10.5200,10.5200,10250,0.0000,1.0000
2018-06-29,10.5200,10.5200,10.5000,10.5000,10.5000,25300,0.0000,1.0000
2018-06-28,10.5000,10.5000,10.5000,10.5000,10.5000,0,0.0000,1.0000
2018-06-27,10.5000,10.6100,10.5000,10.5000,10.5000,48802,0.0000,1.0000
2018-06-26,10.5900,10.5900,10.5900,10.5900,10.5900,0,0.0000,1.0000
2018-06-25,10.5600,10.5900,10.5500,10.5900,10.5900,16560,0.0000,1.0000
2018-06-22,10.6500,10.6500,10.5500,10.5500,10.5500,1200,0.0000,1.0000
2018-06-21,10.5900,10.5900,10.5500,10.5500,10.5500,7442,0.0000,1.0000
2018-06-20,10.6000,10.6399,10.5500,10.5500,10.5500,252600,0.0000,1.0000
2018-06-19,10.5500,10.7000,10.5500,10.6000,10.6000,111220,0.0000,1.0000
2018-06-18,10.5200,10.5200,10.5200,10.5200,10.5200,0,0.0000,1.0000
2018-06-15,10.7500,10.7500,10.5000,10.5200,10.5200,4657,0.0000,1.0000
2018-06-14,10.5000,10.5000,10.5000,10.5000,10.5000,30000,0.0000,1.0000
2018-06-13,10.5000,10.5500,10.5000,10.5000,10.5000,105136,0.0000,1.0000
2018-06-12,10.5000,10.7450,10.5000,10.5000,10.5000,128992,0.0000,1.0000
2018-06-11,10.5100,10.5500,10.5000,10.5000,10.5000,14471,0.0000,1.0000
2018-06-08,10.5250,10.5250,10.5250,10.5250,10.5250,0,0.0000,1.0000
2018-06-07,10.6500,10.6500,10.5000,10.5250,10.5250,17080,0.0000,1.0000
2018-06-06,10.5000,10.6500,10.4900,10.5500,10.5500,39612,0.0000,1.0000
2018-06-05,10.5000,10.5600,10.5000,10.5000,10.5000,305118,0.0000,1.0000
2018-06-04,10.4500,10.4500,10.4500,10.4500,10.4500,14,0.0000,1.0000
2018-06-01,10.4000,10.4500,10.4000,10.4500,10.4500,28012,0.0000,1.0000
2018-05-31,10.4990,10.5000,10.4000,10.5000,10.5000,25415,0.0000,1.0000
2018-05-30,10.4700,10.4900,10.4700,10.4900,10.4900,52047,0.0000,1.0000
2018-05-29,10.4800,10.4800,10.4800,10.4800,10.4800,1056,0.0000,1.0000
2018-05-25,10.3600,10.4950,10.3600,10.4800,10.4800,3153,0.0000,1.0000
2018-05-24,10.4000,10.5000,10.3900,10.5000,10.5000,2840,0.0000,1.0000
2018-05-23,10.4471,10.4544,10.3900,10.3900,10.3900,1352,0.0000,1.0000
2018-05-22,10.5017,10.5500,10.4950,10.4950,10.4950,116279,0.0000,1.0000
2018-05-21,10.5000,10.5500,10.5000,10.5200,10.5200,110835,0.0000,1.0000
2018-05-18,10.4000,10.5000,10.3500,10.4600,10.4600,261442,0.0000,1.0000
2018-05-17,10.4400,10.4500,10.4400,10.4500,10.4500,141300,0.0000,1.0000
2018-05-16,10.3600,10.3600,10.3600,10.3600,10.3600,0,0.0000,1.0000
2018-05-15,10.3600,10.3600,10.3600,10.3600,10.3600,0,0.0000,1.0000
2018-05-14,10.4200,10.4200,10.3600,10.3600,10.3600,599,0.0000,1.0000
2018-05-11,10.4000,10.4000,10.4000,10.4000,10.4000,0,0.0000,1.0000
2018-05-10,10.4000,10.4000,10.4000,10.4000,10.4000,0,0.0000,1.0000
