timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-31,3.5000,3.5000,3.2500,3.4900,3.4900,24627,0.0000,1.0000
2019-05-30,3.4900,3.7000,3.3600,3.4800,3.4800,47659,0.0000,1.0000
2019-05-29,3.5500,3.9000,3.2800,3.4200,3.4200,57802,0.0000,1.0000
2019-05-28,2.9800,3.3800,2.9800,3.3200,3.3200,52486,0.0000,1.0000
2019-05-24,2.8800,2.9200,2.3501,2.8450,2.8450,64421,0.0000,1.0000
2019-05-23,3.0600,3.1200,2.9400,3.0000,3.0000,19948,0.0000,1.0000
2019-05-22,3.1000,3.2000,2.9500,3.0900,3.0900,36863,0.0000,1.0000
2019-05-21,3.8600,3.9200,3.0000,3.1002,3.1002,90684,0.0000,1.0000
2019-05-20,3.5000,3.5000,2.7900,2.8550,2.8550,91285,0.0000,1.0000
2019-05-17,3.1036,3.5500,3.1036,3.4850,3.4850,4453,0.0000,1.0000
2019-05-16,3.3500,3.6400,3.0200,3.4500,3.4500,68215,0.0000,1.0000
2019-05-15,3.7691,3.7691,3.3500,3.6500,3.6500,6676,0.0000,1.0000
2019-05-14,3.8636,3.9260,3.6300,3.6300,3.6300,7578,0.0000,1.0000
2019-05-13,3.9200,3.9450,3.7540,3.9400,3.9400,19477,0.0000,1.0000
2019-05-10,3.8800,3.8800,3.5175,3.8001,3.8001,12262,0.0000,1.0000
2019-05-09,3.7000,4.0000,3.6800,3.9000,3.9000,34088,0.0000,1.0000
2019-05-08,3.7200,3.8500,3.4500,3.5830,3.5830,10177,0.0000,1.0000
2019-05-07,3.7100,3.9100,3.3439,3.7999,3.7999,7589,0.0000,1.0000
2019-05-06,3.8200,4.0100,3.6400,3.8700,3.8700,3394,0.0000,1.0000
2019-05-03,4.0000,4.1500,3.8100,3.8100,3.8100,9091,0.0000,1.0000
2019-05-02,3.9691,4.2000,3.5800,3.9950,3.9950,9159,0.0000,1.0000
2019-05-01,4.3500,4.3500,3.7221,4.1000,4.1000,26583,0.0000,1.0000
2019-04-30,4.1000,4.2992,3.9623,4.2700,4.2700,15595,0.0000,1.0000
2019-04-29,4.7500,4.7700,4.1900,4.5000,4.5000,16808,0.0000,1.0000
2019-04-26,4.7000,4.8450,4.5500,4.6000,4.6000,17198,0.0000,1.0000
2019-04-25,4.6847,4.8200,4.5500,4.8200,4.8200,15001,0.0000,1.0000
2019-04-24,4.7501,4.8899,4.7500,4.8899,4.8899,6265,0.0000,1.0000
2019-04-23,4.7303,4.9000,4.7100,4.8900,4.8900,22403,0.0000,1.0000
2019-04-22,5.0050,5.0050,5.0050,5.0050,5.0050,5,0.0000,1.0000
2019-04-18,4.8500,5.0050,4.7500,5.0050,5.0050,4410,0.0000,1.0000
2019-04-17,5.0000,5.0100,4.7500,5.0100,5.0100,6969,0.0000,1.0000
2019-04-16,4.9110,5.0050,4.8000,5.0000,5.0000,12050,0.0000,1.0000
2019-04-15,4.9600,5.0300,4.9500,5.0300,5.0300,15403,0.0000,1.0000
2019-04-12,5.0300,5.0300,5.0300,5.0300,5.0300,523,0.0000,1.0000
2019-04-11,4.9700,5.1000,4.9700,5.0001,5.0001,32384,0.0000,1.0000
2019-04-10,5.0000,5.1000,4.9645,5.0200,5.0200,17374,0.0000,1.0000
2019-04-09,4.9540,5.0300,4.9540,5.0300,5.0300,328,0.0000,1.0000
2019-04-08,4.9346,5.0252,4.9346,5.0050,5.0050,4044,0.0000,1.0000
2019-04-05,5.0192,5.0192,4.9900,4.9900,4.9900,4861,0.0000,1.0000
2019-04-04,4.9346,5.0500,4.9346,5.0000,5.0000,5263,0.0000,1.0000
2019-04-03,5.0254,5.0500,4.9700,5.0000,5.0000,5547,0.0000,1.0000
2019-04-02,4.9737,5.1000,4.9000,5.0900,5.0900,2408,0.0000,1.0000
2019-04-01,5.0900,5.0900,5.0700,5.0900,5.0900,5420,0.0000,1.0000
2019-03-29,5.0000,5.0999,4.9060,5.0420,5.0420,12382,0.0000,1.0000
2019-03-28,5.1000,5.1000,4.9000,5.0000,5.0000,16964,0.0000,1.0000
2019-03-27,5.0500,5.1700,5.0250,5.1000,5.1000,24860,0.0000,1.0000
2019-03-26,5.1100,5.2600,5.1000,5.1450,5.1450,6544,0.0000,1.0000
2019-03-25,5.1104,5.4350,5.1104,5.2450,5.2450,14912,0.0000,1.0000
2019-03-22,5.0254,5.4200,5.0254,5.3600,5.3600,29072,0.0000,1.0000
2019-03-21,4.9320,5.1900,4.9320,5.1691,5.1691,36998,0.0000,1.0000
2019-03-20,4.6640,5.0100,4.6640,5.0100,5.0100,6045,0.0000,1.0000
2019-03-19,4.9857,5.0100,4.7600,4.7600,4.7600,6490,0.0000,1.0000
2019-03-18,4.9968,5.0100,4.9200,4.9900,4.9900,1143,0.0000,1.0000
2019-03-15,5.0000,5.0000,4.6500,4.8500,4.8500,5474,0.0000,1.0000
2019-03-14,4.9210,4.9700,4.7782,4.9500,4.9500,4123,0.0000,1.0000
2019-03-13,4.9800,5.0000,4.8500,5.0000,5.0000,5985,0.0000,1.0000
2019-03-12,4.9300,4.9850,4.6700,4.7300,4.7300,5035,0.0000,1.0000
2019-03-11,5.0000,5.0100,4.9800,5.0100,5.0100,3456,0.0000,1.0000
2019-03-08,4.9900,4.9900,4.9900,4.9900,4.9900,55,0.0000,1.0000
2019-03-07,4.7000,4.9900,4.7000,4.9900,4.9900,501,0.0000,1.0000
2019-03-06,4.7300,4.9400,4.7300,4.9400,4.9400,1919,0.0000,1.0000
2019-03-05,4.9700,5.0100,4.9700,4.9700,4.9700,4407,0.0000,1.0000
2019-03-04,5.0600,5.0600,4.7600,4.7600,4.7600,6655,0.0000,1.0000
2019-03-01,4.8686,5.0200,4.8686,5.0000,5.0000,5971,0.0000,1.0000
2019-02-28,4.7100,5.0888,4.7100,5.0353,5.0353,7163,0.0000,1.0000
2019-02-27,4.6772,4.6772,4.6772,4.6772,4.6772,1122,0.0000,1.0000
2019-02-26,4.6833,4.6833,4.6833,4.6833,4.6833,306,0.0000,1.0000
2019-02-25,4.8200,4.8900,4.5300,4.6600,4.6600,6529,0.0000,1.0000
2019-02-22,4.7200,4.8710,4.5000,4.7500,4.7500,9078,0.0000,1.0000
2019-02-21,4.7600,4.7926,4.7000,4.7499,4.7499,9320,0.0000,1.0000
2019-02-20,4.8800,4.9399,4.8000,4.8000,4.8000,6575,0.0000,1.0000
2019-02-19,5.0400,5.0468,4.8500,4.9950,4.9950,6066,0.0000,1.0000
2019-02-15,5.1000,5.1200,4.8201,5.0250,5.0250,11357,0.0000,1.0000
2019-02-14,4.9750,5.1208,4.9750,5.0900,5.0900,4350,0.0000,1.0000
2019-02-13,5.0100,5.0499,4.8000,5.0499,5.0499,21890,0.0000,1.0000
2019-02-12,4.9000,5.0500,4.9000,5.0490,5.0490,3735,0.0000,1.0000
2019-02-11,4.7100,4.8553,4.7100,4.8250,4.8250,8554,0.0000,1.0000
2019-02-08,4.8400,4.8800,4.8400,4.8700,4.8700,1102,0.0000,1.0000
2019-02-07,4.9400,4.9400,4.8900,4.8900,4.8900,378,0.0000,1.0000
2019-02-06,5.1314,5.1314,4.5200,5.0500,5.0500,5024,0.0000,1.0000
2019-02-05,4.7900,5.1229,4.7900,5.0500,5.0500,7800,0.0000,1.0000
2019-02-04,4.9659,4.9659,4.9659,4.9659,4.9659,56,0.0000,1.0000
2019-02-01,4.9659,4.9659,4.9659,4.9659,4.9659,310,0.0000,1.0000
2019-01-31,4.5495,5.1499,4.5495,4.9700,4.9700,1788,0.0000,1.0000
2019-01-30,4.8800,5.0000,4.5600,4.9900,4.9900,15361,0.0000,1.0000
2019-01-29,4.6900,5.0000,4.6900,5.0000,5.0000,2409,0.0000,1.0000
2019-01-28,4.9400,5.1700,4.6025,4.7100,4.7100,2240,0.0000,1.0000
2019-01-25,4.9400,5.1200,4.7224,5.1000,5.1000,13352,0.0000,1.0000
2019-01-24,4.9499,4.9499,4.9499,4.9499,4.9499,605,0.0000,1.0000
2019-01-23,4.9700,4.9700,4.9700,4.9700,4.9700,1569,0.0000,1.0000
2019-01-22,5.0500,5.0500,5.0500,5.0500,5.0500,132,0.0000,1.0000
2019-01-18,4.8633,5.0965,4.8633,5.0500,5.0500,2346,0.0000,1.0000
2019-01-17,4.9000,4.9000,4.7500,4.8400,4.8400,3821,0.0000,1.0000
2019-01-16,4.9200,4.9200,4.6625,4.8500,4.8500,3107,0.0000,1.0000
2019-01-15,4.9605,4.9605,4.9270,4.9270,4.9270,2542,0.0000,1.0000
2019-01-14,5.1000,5.1000,4.9500,4.9500,4.9500,1411,0.0000,1.0000
2019-01-11,5.1800,5.1800,5.1796,5.1800,5.1800,4715,0.0000,1.0000
2019-01-10,5.0200,5.1900,4.9500,5.1900,5.1900,7639,0.0000,1.0000
2019-01-09,5.0600,5.1001,4.9954,4.9954,4.9954,3550,0.0000,1.0000
2019-01-08,5.0000,5.1899,4.9000,4.9000,4.9000,14440,0.0000,1.0000
2019-01-07,5.3200,5.3200,4.5536,5.0000,5.0000,24373,0.0000,1.0000
2019-01-04,5.1800,5.1837,4.9100,5.1200,5.1200,34338,0.0000,1.0000
2019-01-03,4.9100,5.1200,4.8500,5.1200,5.1200,15148,0.0000,1.0000
2019-01-02,4.8800,5.2500,4.7000,4.8500,4.8500,79990,0.0000,1.0000
2018-12-31,5.1602,5.1602,4.6900,4.6900,4.6900,3542,0.0000,1.0000
2018-12-28,4.7900,5.1699,4.5000,4.9350,4.9350,5955,0.0000,1.0000
2018-12-27,4.8000,5.1400,4.1499,4.9900,4.9900,47275,0.0000,1.0000
2018-12-26,5.2100,5.4700,4.9600,4.9600,4.9600,4802,0.0000,1.0000
2018-12-24,5.1000,5.2900,5.0601,5.2750,5.2750,5773,0.0000,1.0000
2018-12-21,5.3500,5.6300,5.0200,5.0200,5.0200,4623,0.0000,1.0000
2018-12-20,5.5500,5.9095,5.2601,5.3500,5.3500,9855,0.0000,1.0000
2018-12-19,5.5499,5.9200,5.4401,5.5000,5.5000,3329,0.0000,1.0000
2018-12-18,5.5900,5.9200,5.5900,5.9100,5.9100,2408,0.0000,1.0000
2018-12-17,5.6241,5.9050,5.4400,5.6500,5.6500,42957,0.0000,1.0000
2018-12-14,5.7100,5.7100,5.3400,5.4600,5.4600,44659,0.0000,1.0000
2018-12-13,5.4300,5.9640,5.2100,5.5700,5.5700,22701,0.0000,1.0000
2018-12-12,5.4400,5.6700,5.3100,5.4900,5.4900,7740,0.0000,1.0000
2018-12-11,5.4000,5.4985,5.2400,5.4000,5.4000,4035,0.0000,1.0000
2018-12-10,5.6400,5.8750,5.2200,5.3100,5.3100,12022,0.0000,1.0000
2018-12-07,5.7788,6.0803,5.5300,5.6000,5.6000,17713,0.0000,1.0000
2018-12-06,6.2300,6.2500,5.8089,6.1000,6.1000,15897,0.0000,1.0000
2018-12-04,6.2400,6.2400,6.0100,6.2300,6.2300,424,0.0000,1.0000
2018-12-03,6.2500,6.2500,6.0074,6.2500,6.2500,725,0.0000,1.0000
2018-11-30,5.8558,6.0800,5.7800,6.0000,6.0000,7898,0.0000,1.0000
2018-11-29,5.8240,6.0700,5.6883,5.9850,5.9850,11315,0.0000,1.0000
2018-11-28,6.0300,6.0500,5.9100,6.0500,6.0500,2331,0.0000,1.0000
2018-11-27,5.9500,6.2400,5.6781,6.0500,6.0500,6691,0.0000,1.0000
2018-11-26,6.0000,6.1100,5.9250,6.1100,6.1100,2246,0.0000,1.0000
2018-11-23,5.7829,6.2288,5.7829,6.0100,6.0100,5002,0.0000,1.0000
2018-11-21,5.9900,6.3300,5.6400,6.3300,6.3300,4583,0.0000,1.0000
2018-11-20,6.2500,6.3952,5.9000,6.1500,6.1500,9745,0.0000,1.0000
2018-11-19,6.1800,6.8700,6.0001,6.5000,6.5000,12552,0.0000,1.0000
2018-11-16,6.2500,6.2500,6.2500,6.2500,6.2500,847,0.0000,1.0000
2018-11-15,6.0550,6.5300,6.0500,6.5299,6.5299,6252,0.0000,1.0000
2018-11-14,5.8565,6.4300,5.7899,6.4300,6.4300,18881,0.0000,1.0000
2018-11-13,6.4700,6.5100,6.4700,6.5100,6.5100,1125,0.0000,1.0000
2018-11-12,5.9200,6.4000,5.9200,6.4000,6.4000,1951,0.0000,1.0000
2018-11-09,6.4600,6.4900,5.7400,5.7400,5.7400,3665,0.0000,1.0000
2018-11-08,6.3000,6.3000,6.3000,6.3000,6.3000,2708,0.0000,1.0000
2018-11-07,6.0600,7.4000,5.5100,6.4000,6.4000,23250,0.0000,1.0000
2018-11-06,6.1000,6.1000,5.7000,6.0800,6.0800,16237,0.0000,1.0000
2018-11-05,5.9100,6.2893,5.6000,5.8000,5.8000,6421,0.0000,1.0000
2018-11-02,5.9600,6.2400,5.5300,5.8800,5.8800,11641,0.0000,1.0000
2018-11-01,6.1000,6.1000,5.4638,6.0999,6.0999,7789,0.0000,1.0000
2018-10-31,6.2900,7.3600,5.9500,6.1000,6.1000,19776,0.0000,1.0000
2018-10-30,6.2800,6.3668,5.9700,6.3000,6.3000,6226,0.0000,1.0000
2018-10-29,5.8500,6.0000,5.6800,5.9900,5.9900,4589,0.0000,1.0000
2018-10-26,5.7400,6.4700,5.1800,6.0500,6.0500,18970,0.0000,1.0000
2018-10-25,5.6000,6.3000,5.5500,6.2190,6.2190,14935,0.0000,1.0000
2018-10-24,6.0000,6.0000,5.1200,6.0000,6.0000,4780,0.0000,1.0000
2018-10-23,5.8500,6.2904,5.7788,6.1202,6.1202,3813,0.0000,1.0000
2018-10-22,6.0900,6.2186,5.7600,6.2186,6.2186,1751,0.0000,1.0000
2018-10-19,6.2000,6.4000,6.0000,6.2500,6.2500,7010,0.0000,1.0000
2018-10-18,5.7788,6.1824,5.7788,6.1824,6.1824,1562,0.0000,1.0000
2018-10-17,5.9280,6.7190,5.8859,6.1000,6.1000,14306,0.0000,1.0000
2018-10-16,6.4500,6.4500,5.9000,6.2000,6.2000,3117,0.0000,1.0000
2018-10-15,6.2700,7.1200,5.0200,6.4400,6.4400,11600,0.0000,1.0000
2018-10-12,6.3500,6.7000,5.9000,6.4700,6.4700,19594,0.0000,1.0000
2018-10-11,6.0000,6.8500,5.7000,6.1700,6.1700,28199,0.0000,1.0000
2018-10-10,6.8100,6.9155,5.8800,6.2085,6.2085,6915,0.0000,1.0000
2018-10-09,6.6300,7.0500,6.5000,6.7499,6.7499,8844,0.0000,1.0000
2018-10-08,6.7000,7.1000,6.5000,7.1000,7.1000,7139,0.0000,1.0000
2018-10-05,7.1200,7.1200,6.8340,6.9666,6.9666,1950,0.0000,1.0000
2018-10-04,7.0300,7.0650,6.9138,6.9311,6.9311,2091,0.0000,1.0000
2018-10-03,7.1600,7.1627,6.8136,7.1500,7.1500,4201,0.0000,1.0000
2018-10-02,7.4500,7.4500,7.4500,7.4500,7.4500,858,0.0000,1.0000
2018-10-01,7.4900,7.8300,7.1858,7.3901,7.3901,10411,0.0000,1.0000
2018-09-28,6.5720,7.5200,6.5301,7.4900,7.4900,10445,0.0000,1.0000
2018-09-27,6.9999,7.1700,6.7887,7.0228,7.0228,4059,0.0000,1.0000
2018-09-26,7.1799,7.1799,6.5620,7.0085,7.0085,5916,0.0000,1.0000
2018-09-25,7.0200,7.2680,6.7900,7.1859,7.1859,21610,0.0000,1.0000
2018-09-24,7.0000,7.1700,6.5300,7.1700,7.1700,24416,0.0000,1.0000
2018-09-21,7.3130,7.5500,6.9500,7.0500,7.0500,16132,0.0000,1.0000
2018-09-20,7.3162,7.4700,6.9500,7.4700,7.4700,36969,0.0000,1.0000
2018-09-19,7.6100,7.6100,7.1000,7.3000,7.3000,13115,0.0000,1.0000
2018-09-18,7.2510,7.5500,7.0022,7.4500,7.4500,14859,0.0000,1.0000
2018-09-17,7.3100,7.5200,7.1388,7.4000,7.4000,20115,0.0000,1.0000
2018-09-14,7.1800,7.3100,6.8000,7.0600,7.0600,11969,0.0000,1.0000
2018-09-13,6.5100,7.2700,6.5100,7.1712,7.1712,9341,0.0000,1.0000
2018-09-12,6.3172,6.7200,6.3000,6.7200,6.7200,4478,0.0000,1.0000
2018-09-11,6.5400,6.7100,6.0732,6.5000,6.5000,6348,0.0000,1.0000
2018-09-10,6.6900,6.7674,6.5000,6.5000,6.5000,8118,0.0000,1.0000
2018-09-07,6.3572,6.7900,6.3572,6.7900,6.7900,4823,0.0000,1.0000
2018-09-06,6.5700,6.7243,6.5350,6.6500,6.6500,4776,0.0000,1.0000
2018-09-05,6.1824,6.7577,6.1824,6.5212,6.5212,8305,0.0000,1.0000
2018-09-04,6.3000,6.7500,6.3000,6.7500,6.7500,9779,0.0000,1.0000
2018-08-31,6.1818,6.4500,6.1563,6.4400,6.4400,1627,0.0000,1.0000
2018-08-30,6.1818,6.5999,6.1818,6.4440,6.4440,3990,0.0000,1.0000
2018-08-29,6.4700,6.6000,6.4700,6.6000,6.6000,4714,0.0000,1.0000
2018-08-28,5.9001,6.8235,5.9001,6.4100,6.4100,13187,0.0000,1.0000
2018-08-27,6.3300,6.7500,6.0800,6.6800,6.6800,46817,0.0000,1.0000
2018-08-24,5.7100,6.2224,5.7100,6.0896,6.0896,12926,0.0000,1.0000
2018-08-23,5.9100,6.2600,5.5800,5.6645,5.6645,82183,0.0000,1.0000
2018-08-22,5.4197,5.7000,5.4000,5.7000,5.7000,2261,0.0000,1.0000
2018-08-21,5.0400,5.3268,5.0000,5.3200,5.3200,7852,0.0000,1.0000
2018-08-20,5.0200,5.0500,4.9000,5.0500,5.0500,23762,0.0000,1.0000
2018-08-17,4.9293,5.2510,4.9293,5.1000,5.1000,12334,0.0000,1.0000
2018-08-16,5.6800,5.7000,4.5600,5.2499,5.2499,69035,0.0000,1.0000
2018-08-15,5.6694,5.8400,5.4500,5.4500,5.4500,9721,0.0000,1.0000
2018-08-14,5.9200,5.9200,5.7798,5.8499,5.8499,8170,0.0000,1.0000
2018-08-13,5.9000,5.9000,5.6600,5.7782,5.7782,9932,0.0000,1.0000
2018-08-10,5.8070,5.9000,5.6800,5.7500,5.7500,19618,0.0000,1.0000
2018-08-09,5.5500,5.8900,5.5100,5.7100,5.7100,2124,0.0000,1.0000
2018-08-08,5.5800,5.8793,5.5800,5.8500,5.8500,5766,0.0000,1.0000
2018-08-07,5.8300,5.9220,5.5900,5.7100,5.7100,36971,0.0000,1.0000
2018-08-06,5.7950,6.0900,5.7107,5.8500,5.8500,31707,0.0000,1.0000
2018-08-03,5.5600,5.9600,5.5100,5.8700,5.8700,15142,0.0000,1.0000
2018-08-02,5.7053,5.8000,5.5466,5.8000,5.8000,8370,0.0000,1.0000
2018-08-01,5.8000,5.8000,5.7100,5.7100,5.7100,7222,0.0000,1.0000
2018-07-31,6.0573,6.0573,5.5376,5.9000,5.9000,9288,0.0000,1.0000
2018-07-30,5.9100,6.0571,5.5200,5.8500,5.8500,10451,0.0000,1.0000
2018-07-27,6.2814,6.3200,5.9000,5.9500,5.9500,10045,0.0000,1.0000
2018-07-26,5.7900,6.3790,5.7272,6.2661,6.2661,16584,0.0000,1.0000
2018-07-25,5.9400,6.3700,5.6225,5.7500,5.7500,16492,0.0000,1.0000
2018-07-24,6.3300,6.5700,6.0000,6.0000,6.0000,14543,0.0000,1.0000
2018-07-23,6.7500,6.7500,6.3300,6.3300,6.3300,10269,0.0000,1.0000
2018-07-20,6.7034,6.7034,6.3000,6.6300,6.6300,7192,0.0000,1.0000
2018-07-19,6.3948,6.5000,6.3948,6.4000,6.4000,2913,0.0000,1.0000
2018-07-18,6.5000,6.5139,6.2300,6.3000,6.3000,26546,0.0000,1.0000
2018-07-17,6.3000,6.8598,6.3000,6.4897,6.4897,14946,0.0000,1.0000
2018-07-16,6.5580,6.6698,6.3500,6.3500,6.3500,5835,0.0000,1.0000
2018-07-13,6.6800,6.9400,6.5300,6.7191,6.7191,19618,0.0000,1.0000
2018-07-12,6.5366,6.6750,6.5100,6.6600,6.6600,15563,0.0000,1.0000
2018-07-11,6.4600,6.6799,6.3605,6.5240,6.5240,9322,0.0000,1.0000
2018-07-10,6.5700,6.9354,6.3077,6.5000,6.5000,13514,0.0000,1.0000
2018-07-09,6.8700,7.1000,6.5000,6.6200,6.6200,58103,0.0000,1.0000
2018-07-06,6.8600,7.2300,6.6400,6.8200,6.8200,55759,0.0000,1.0000
2018-07-05,7.8200,8.2375,6.5500,6.9200,6.9200,181471,0.0000,1.0000
2018-07-03,8.0300,8.6469,7.2500,7.8900,7.8900,100520,0.0000,1.0000
2018-07-02,8.7800,8.9000,7.9500,7.9700,7.9700,203787,0.0000,1.0000
2018-06-29,7.7500,8.4000,7.3800,7.7700,7.7700,53266,0.0000,1.0000
2018-06-28,8.4000,8.7800,7.7500,7.8100,7.8100,82733,0.0000,1.0000
2018-06-27,9.3100,9.3100,8.2800,8.3700,8.3700,120550,0.0000,1.0000
2018-06-26,9.0500,9.6300,8.9001,9.3100,9.3100,55454,0.0000,1.0000
2018-06-25,9.3100,9.6300,8.6150,8.9100,8.9100,75322,0.0000,1.0000
2018-06-22,8.3000,11.1200,8.1300,9.4078,9.4078,417679,0.0000,1.0000
2018-06-21,8.3200,8.7900,8.1200,8.4000,8.4000,50499,0.0000,1.0000
2018-06-20,8.0800,8.8800,8.0500,8.2900,8.2900,72935,0.0000,1.0000
2018-06-19,8.5300,8.5300,7.9655,8.0300,8.0300,84405,0.0000,1.0000
2018-06-18,7.9400,11.6300,7.9000,8.6900,8.6900,1033580,0.0000,1.0000
2018-06-15,7.1600,8.1500,7.1600,7.5600,7.5600,96759,0.0000,1.0000
2018-06-14,7.5000,7.6990,7.0684,7.1500,7.1500,41830,0.0000,1.0000
2018-06-13,7.0600,7.4500,6.9100,7.4500,7.4500,31564,0.0000,1.0000
2018-06-12,7.4600,7.6328,6.9217,7.1900,7.1900,22535,0.0000,1.0000
2018-06-11,6.7800,7.5000,6.7800,7.4600,7.4600,93326,0.0000,1.0000
2018-06-08,6.8000,7.0000,6.6038,6.8150,6.8150,30252,0.0000,1.0000
2018-06-07,6.7200,6.8188,6.3000,6.7500,6.7500,38190,0.0000,1.0000
2018-06-06,6.6000,6.9491,6.5000,6.7900,6.7900,40877,0.0000,1.0000
2018-06-05,6.9000,7.7300,6.3400,6.8600,6.8600,100178,0.0000,1.0000
2018-06-04,7.1000,7.1000,6.1300,6.9584,6.9584,58195,0.0000,1.0000
2018-06-01,7.0451,7.3247,7.0451,7.1000,7.1000,15389,0.0000,1.0000
2018-05-31,6.8400,7.8322,6.8400,6.9600,6.9600,30029,0.0000,1.0000
2018-05-30,7.0000,7.0350,6.5000,6.7900,6.7900,105011,0.0000,1.0000
2018-05-29,7.2600,7.3000,7.0000,7.0000,7.0000,54887,0.0000,1.0000
2018-05-25,7.4800,7.4800,7.2100,7.3300,7.3300,46482,0.0000,1.0000
2018-05-24,8.0900,8.0900,7.2948,7.5000,7.5000,71419,0.0000,1.0000
2018-05-23,8.0500,9.1799,7.8000,7.9500,7.9500,365366,0.0000,1.0000
2018-05-22,6.7000,8.0500,6.4950,7.7500,7.7500,326891,0.0000,1.0000
2018-05-21,7.2500,7.2500,6.8902,7.0800,7.0800,39683,0.0000,1.0000
2018-05-18,6.5000,7.1000,6.5000,6.9900,6.9900,55496,0.0000,1.0000
2018-05-17,6.6000,6.8000,6.2500,6.5200,6.5200,59342,0.0000,1.0000
2018-05-16,6.8700,6.9800,6.3600,6.5300,6.5300,59290,0.0000,1.0000
2018-05-15,6.2600,7.1500,6.2500,6.7700,6.7700,100665,0.0000,1.0000
2018-05-14,7.2800,7.2800,6.5100,6.6500,6.6500,40155,0.0000,1.0000
2018-05-11,6.2200,7.3500,6.2000,6.8000,6.8000,133213,0.0000,1.0000
2018-05-10,6.4900,7.5870,5.9156,6.7942,6.7942,389858,0.0000,1.0000
2018-05-09,5.4600,6.5000,5.4008,6.3000,6.3000,106440,0.0000,1.0000
2018-05-08,5.9100,5.9100,5.4100,5.4100,5.4100,48769,0.0000,1.0000
